iter	Passed	Remaining
0	171	16937
1	188	9213
2	205	6649
3	222	5343
4	239	4559
5	256	4023
6	271	3603
7	287	3302
8	303	3063
9	317	2856
10	332	2692
11	347	2546
12	362	2424
13	376	2314
14	392	2225
15	407	2139
16	421	2057
17	435	1985
18	450	1920
19	466	1866
20	480	1808
21	495	1756
22	515	1725
23	532	1686
24	548	1645
25	564	1607
26	582	1574
27	599	1540
28	613	1503
29	631	1474
30	648	1444
31	667	1419
32	684	1389
33	700	1360
34	717	1332
35	735	1306
36	751	1278
37	766	1250
38	781	1221
39	796	1195
40	812	1168
41	827	1142
42	845	1120
43	861	1096
44	876	1071
45	891	1046
46	907	1022
47	920	997
48	937	975
49	953	953
50	969	931
51	985	909
52	1002	888
53	1042	887
54	1067	873
55	1085	852
56	1103	832
57	1122	812
58	1139	791
59	1153	769
60	1167	746
61	1183	725
62	1199	704
63	1213	682
64	1228	661
65	1241	639
66	1256	618
67	1271	598
68	1287	578
69	1302	558
70	1317	538
71	1332	518
72	1345	497
73	1359	477
74	1374	458
75	1389	438
76	1403	419
77	1417	399
78	1432	380
79	1447	361
80	1461	342
81	1474	323
82	1489	305
83	1505	286
84	1520	268
85	1535	250
86	1549	231
87	1564	213
88	1578	195
89	1595	177
90	1609	159
91	1624	141
92	1639	123
93	1654	105
94	1669	87
95	1685	70
96	1700	52
97	1716	35
98	1731	17
99	1746	0
